,question,cluster
2646,"real curious about how would people without asthma/ not experiencing an asthma attack react to taking a `` puff '' of an inhaler ?
",8
2647,"is it possible you can lose asthma ?
",8
2648,"due to airwayconstriction , which decreases the size of the lumen and makes it more difficult to get the air in ?
",4
2649,"how many people get asthma every year ?
",8
2650,"is ashtama more dangerous or is cancer more dangerous ?
",8
2651,"is asthma the reason i keep getting wheezing after i run in a game ?
",8
2652,"what are the functions of esterase , hyaluronidase and acrosin in arosome reaction ?
",6
2653,"at around 5:36 , you finish writing the line r1 = 1,4 r2 = 5,2 r3 = 3,6. are n't there infinite possible variations for r1 , r2 , and r3 ?
",6
2654,"is n't the magnetic field , the vertical component in an electromagnetic wave and the electric field is perpendicular to it ?
",4
2655,"we use glasses with different polarization for different purposes..but i did n't get why even use them ( except the 3d movie example ) ?
",9
2656,"how is a movie made 3-d ?
",5
2657,"are the two overlapping images of a 3d movie different drawn ?
",3
2658,"in photoelectric effect what happens when only the work function is provided ?
",3
2659,"how can a sound wave in solid medium can be polarized from the source of the sound wave ?
",4
2660,"in un-polarised light , do the electric and magnetic waves which are in the same plane undergo constructive superposition ?
",4
2661,"0:28 i thought that when people draw the waves with two waves intersecting each other , that was the quantum superposition of light rays , if thats not quantum superposition then how does it work , does it exists somewhere else or works in another kinda dimention ?
",3
2662,"is the classification of amino acids into acidic , basic and neural based on natural ph in the body ( 7.4 ) ?
",4
2663,"what does the value of spring constant `` k '' depend upon ?
",0
2664,"if the ice block was travelling at , say 1 m/s , as opposed to 3.13 m/s ( minimum required velocity ) , would it just go backwards on the loop de loop ?
",2
2665,"why is in 6:08 the ac=g=9.8 ?
",6
2666,"is a semantic network still a strong concept in current psychology ?
",3
2667,"would there not be friction no matter what direction you push the rock on the ground ?
",9
2668,"if the force of friction is 5n and the pushing force is 3n to the right would the rock move to the left because 5n ( friction ) > 3n ( force from person ) ?
",6
2669,"how do you calculate net force ?
",0
2670,"at 1:48 , where does the force applied by the person in the second diagram go ?
",3
2671,"how does newton 's third law work with unbalanced forces ?
",1
2672,"for the fourth scenario , the one with two guys pushing , should n't the force the red guy on the right is applying on the rock have an opposing force of friction too ?
",9
2673,"at 2:14 , what if the friction was greater than the force ?
",4
2674,"at 2:54 , why is the opposing force still 2n ?
",6
2675,"how would calculate the amount of friction if you were given the mass of the object ?
",3
2676,"why is it that when the `` character '' applies 2 n of force on the rock in the horizontal direction , the force of friction cancels it out by an equal and opposite force but when the `` character '' applies 3 n the force of friction still applies 2 n ?
",2
2677,"does this mean that though the rock is n't moving anywhere , there is acceleration ?
",9
2678,"in the 5th diagram , may i ask what is the resultant force acting on the first man ( who gives 4n force ) ?
",1
2679,"in the case of the first picture should'nt it be like , no matter how much force you use to lift the object the object would move even if the force is microscopic ?
",9
2680,"if there 's a force on the rock , and the rock is n't moving , how can there not be friction ?
",9
2681,"what does sat stand for ?
",1
2682,"what is the use of coefficient ?
",3
2683,"is that correct that the cross product of the span of n ( a ) is always part of c ( at ) ?
",2
2684,"if you have 5/8 and 1 6/8 , why do you have to cut the starting block into 16 ?
",2
2685,"so how would i write an equation for the example at 2:21 ?
",3
2686,"how do you identify whether it is a geometric or arithmetic sequence ?
",3
2687,"so what exactly is the difference between sequences and series ?
",3
2688,"in what ways are geometric progression and arithmetic progression different ?
",3
2689,"what do the squigly parentheses mean ?
",3
2690,"in the equation a sub k = a sub ( k-1 ) - ( -3 ) what happens when k = 0 or k = 1 ?
",2
2691,"what if you 've got ; 4x ( x+6 ) -3x ( x-4 ) do you multiply the 4x with the 6 to get 24x ?
",6
2692,"what is the answer for question number two ( 2 ) ?
",2
2693,"do i understand correctly that the ( 0 ) t vector = 0 vector ?
",2
2694,"how can i test for convergency of a geometric series ?
",3
2695,"for example 3 numbers have a geometric mean of 3 and 3 different numbers have a geometric mean of 12 what will be the geometric mean of all six numbers ?
",2
2696,"so is a sequence basically just a function where the input is limited to positive integers ?
",3
2697,"why is a sequence discrete and a function is continuous ?
",3
2698,"are their any infinite number sequences where each number is irrational ?
",3
2699,"i wish i knew : what 's the simplest possible ( or at least one very simple ) example of recursion ?
",3
2700,"how do you write an explicit general term for a recursive sequence ?
",3
2701,"we can see here that many of the simpler recursive sequences can be converted , but more generally , which kinds of recursive functions are convertible , and which , if any , are not ?
",3
2702,"do n't sequences have a connection to computer programming ?
",5
2703,"are there different definitions for different type of sequences ?
",3
2704,"so for the first finite sequence a_k sal writes at 3:13 , he really means to write a_k = 1 + 3 ( a_k-1 ) right ?
",2
2705,"what is the difference between sequence and series in maths ?
",3
2706,"does a finite sequence have to have a pattern ?
",3
2707,"what is the practical value of math sequencing ?
",3
2708,"does the answer of negative numbers with scalar multiplication have to be + , or - ?
",3
2709,"why is it called scalar ?
",3
2710,"why would you need matrices in life ?
",3
2711,"would it still be a scalar even if it is part of the matrix ?
",3
2712,"so a scalar is a number that `` scales '' a vector or in this case matrix ?
",3
2713,"the amount of order is n't a function of shipping cost but shipping cost is a function of amount of order , right ?
",0
2714,"why cant we take the line equation as `` ax+by=1 '' instead of `` y=mx+b '' and find the values of a and b using least square method ?
",3
2715,"is there a reason ( in a 2 column proof ) for being able to draw a transversal in a parallelogram that would spilt the parallelogram into two triangles ?
",6
2716,"if sal meant opposite sides of a parallelogram then its already implied that the opposite sides are parallel , or is he referring to two pairs of opposite sides that are only congruent to their opposite side ?
",3
2717,"so if you are dividing by x+3 , do you multiply the coefficients by -3 and still add two numbers or subtract ?
",6
2718,"how would you find the gcd for 115,248/100,842 ?
",6
2719,"is it true that all the odd numbers have an odd number of factors , and all the even numbers have an even number of factors ?
",3
2720,"( 210,90 ) has 2 , 5 but this time we need to multiply them together to get 10. is there a rule so we know when to multiply common factors to find the gcf ?
",2
2721,"why is one a factor in all numbers ?
",3
2722,"are there gcd for negative numbers an fraction , if so how do you find it ?
",3
2723,"what can gcd be used for ?
",3
2724,"if your bill is $ 17.50 per week , how much would you have to save per day to pay the bill ?
",7
2725,"at 4:31 , reality prime is what ?
",1
2726,"how do you solve the greatest common factor if it is a very large number , like ( 1,000,000 , 189,478,353 ) ?
",9
2727,"what is a 'integer ' number as said in the video at 1:40 ?
",3
